"file_name","sample_key","group"
"neg_Ex2_L_142_Wounding_38_1-B__8_01_25025.mzML","neg_ex2_l_142_wounding_38_1-b__8_01_25025","Wounding"
"neg_Ex2_L_142_Wounding_39_1-B__1_01_25018.mzML","neg_ex2_l_142_wounding_39_1-b__1_01_25018","Wounding"
"neg_Ex2_L_143_Null_55_1-A__2_01_25009.mzML","neg_ex2_l_143_null_55_1-a__2_01_25009","Null"
"neg_Ex2_L_143_Null_56_1-E__1_01_25048.mzML","neg_ex2_l_143_null_56_1-e__1_01_25048","Null"
"neg_Ex2_L_143_Null_57_1-A__7_01_25014.mzML","neg_ex2_l_143_null_57_1-a__7_01_25014","Null"
"neg_Ex2_L_143_Null_58_1-C__1_01_25028.mzML","neg_ex2_l_143_null_58_1-c__1_01_25028","Null"
"neg_Ex2_L_143_Wounding_49_1-F__4_01_25061.mzML","neg_ex2_l_143_wounding_49_1-f__4_01_25061","Wounding"
"neg_Ex2_L_143_Wounding_50_1-D__3_01_25040.mzML","neg_ex2_l_143_wounding_50_1-d__3_01_25040","Wounding"
"neg_Ex2_L_143_Wounding_51_1-F__1_01_25058.mzML","neg_ex2_l_143_wounding_51_1-f__1_01_25058","Wounding"
"neg_Ex2_L_149_Null_67_1-A__4_01_25011.mzML","neg_ex2_l_149_null_67_1-a__4_01_25011","Null"
"neg_Ex2_L_149_Null_68_1-C__3_01_25030.mzML","neg_ex2_l_149_null_68_1-c__3_01_25030","Null"
"neg_Ex2_L_149_Null_69_1-D__1_01_25038.mzML","neg_ex2_l_149_null_69_1-d__1_01_25038","Null"
"neg_Ex2_L_149_Null_70_2-A__1_01_25066.mzML","neg_ex2_l_149_null_70_2-a__1_01_25066","Null"
"neg_Ex2_L_149_Wounding_61_1-C__2_01_25029.mzML","neg_ex2_l_149_wounding_61_1-c__2_01_25029","Wounding"
"neg_Ex2_L_149_Wounding_62_1-E__7_01_25054.mzML","neg_ex2_l_149_wounding_62_1-e__7_01_25054","Wounding"
"neg_Ex2_L_149_Wounding_63_1-B__3_01_25020.mzML","neg_ex2_l_149_wounding_63_1-b__3_01_25020","Wounding"
"neg_Ex2_L_155_Null_79_1-E__8_01_25055.mzML","neg_ex2_l_155_null_79_1-e__8_01_25055","Null"
"neg_Ex2_L_155_Null_80_1-E__4_01_25051.mzML","neg_ex2_l_155_null_80_1-e__4_01_25051","Null"
"neg_Ex2_L_155_Null_81_1-C__7_01_25034.mzML","neg_ex2_l_155_null_81_1-c__7_01_25034","Null"
"neg_Ex2_L_155_Null_82_1-B__5_01_25022.mzML","neg_ex2_l_155_null_82_1-b__5_01_25022","Null"
"neg_Ex2_L_155_Wounding_73_1-A__3_01_25010.mzML","neg_ex2_l_155_wounding_73_1-a__3_01_25010","Wounding"
"neg_Ex2_L_155_Wounding_74_1-D__8_01_25045.mzML","neg_ex2_l_155_wounding_74_1-d__8_01_25045","Wounding"
"neg_Ex2_L_155_Wounding_75_1-D__6_01_25043.mzML","neg_ex2_l_155_wounding_75_1-d__6_01_25043","Wounding"
"neg_Ex2_L_EV_Null_19_1-A__1_01_25008.mzML","neg_ex2_l_ev_null_19_1-a__1_01_25008","Null"
"neg_Ex2_L_EV_Null_20_1-D__5_01_25042.mzML","neg_ex2_l_ev_null_20_1-d__5_01_25042","Null"
"neg_Ex2_L_EV_Null_21_1-A__5_01_25012.mzML","neg_ex2_l_ev_null_21_1-a__5_01_25012","Null"
"neg_Ex2_L_EV_Null_22_1-F__3_01_25060.mzML","neg_ex2_l_ev_null_22_1-f__3_01_25060","Null"
"neg_Ex2_L_EV_Wounding_13_1-C__5_01_25032.mzML","neg_ex2_l_ev_wounding_13_1-c__5_01_25032","Wounding"
"neg_Ex2_L_EV_Wounding_14_1-B__7_01_25024.mzML","neg_ex2_l_ev_wounding_14_1-b__7_01_25024","Wounding"
"neg_Ex2_L_EV_Wounding_15_2-A__3_01_25068.mzML","neg_ex2_l_ev_wounding_15_2-a__3_01_25068","Wounding"
"neg_Ex3_L_132_Null_31_2-B__7_01_25088.mzML","neg_ex3_l_132_null_31_2-b__7_01_25088","Null"
"neg_Ex3_L_132_Null_34_2-A__8_01_25079.mzML","neg_ex3_l_132_null_34_2-a__8_01_25079","Null"
"neg_Ex3_L_132_Wounding_25_2-A__7_01_25078.mzML","neg_ex3_l_132_wounding_25_2-a__7_01_25078","Wounding"
"neg_Ex3_L_142_Null_47_2-B__1_01_25082.mzML","neg_ex3_l_142_null_47_2-b__1_01_25082","Null"
"neg_Ex3_L_142_Wounding_38_2-B__8_01_25089.mzML","neg_ex3_l_142_wounding_38_2-b__8_01_25089","Wounding"
"neg_Ex3_L_143_Wounding_49_2-C__1_01_25092.mzML","neg_ex3_l_143_wounding_49_2-c__1_01_25092","Wounding"
"neg_Ex3_L_149_Null_70_2-B__3_01_25084.mzML","neg_ex3_l_149_null_70_2-b__3_01_25084","Null"
"neg_Ex3_L_149_Wounding_57_2-C__2_01_25093.mzML","neg_ex3_l_149_wounding_57_2-c__2_01_25093","Wounding"
"neg_Ex3_L_149_Wounding_62_2-B__2_01_25083.mzML","neg_ex3_l_149_wounding_62_2-b__2_01_25083","Wounding"
"neg_Ex3_L_149_Wounding_63_2-C__3_01_25094.mzML","neg_ex3_l_149_wounding_63_2-c__3_01_25094","Wounding"
"neg_Ex3_L_155_Null_81_2-C__4_01_25095.mzML","neg_ex3_l_155_null_81_2-c__4_01_25095","Null"
"neg_Ex3_L_EV_Null_19_2-B__6_01_25087.mzML","neg_ex3_l_ev_null_19_2-b__6_01_25087","Null"
