"feature_id","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","blank","sample","ms_level"
"FT0052",191.055392947316,191.019668363489,191.069823358753,198.304733276367,142.149673461914,396.840118408203,421,0,166,1
"FT0053",192.059208268457,192.022728278042,192.073515178901,190.888038635254,137.471710205078,271.933898925781,224,0,164,1
"FT0054",192.023605970597,192.021395332714,192.072875770778,42.897762298584,26.5613384246826,132.396423339844,446,0,171,1
"FT0055",193.050421267445,193.024286720373,193.064558383002,280.9677734375,211.540985107422,430.493011474609,354,0,159,1
"FT0056",193.024784587983,193.022876919931,193.074137170324,42.7635459899902,26.5613384246826,141.355041503906,292,0,169,1
"FT0057",195.050669829169,195.04833984375,195.064391649399,32.6234741210938,26.5613384246826,128.108963012695,171,0,167,1
"FT0058",195.810696696025,195.810070658127,195.811212501815,1143.89208984375,1143.54797363281,1152.04602050781,245,1,243,1
"FT0059",197.06608865806,197.045058820881,197.067397175581,28.3183708190918,27.9420547485352,92.7372131347656,25,1,24,1
"FT0060",197.807723930105,197.806765444716,197.808379385441,1143.89501953125,1143.54797363281,1153.35949707031,251,1,245,1
"FT0061",198.070267633788,198.070267633788,198.070267633788,28.5020179748535,28.5020179748535,28.5020179748535,1,1,0,1
"FT0062",199.804683723726,199.803630047689,199.805332187027,1143.89196777344,1143.54797363281,1157.18383789062,230,1,227,1
"FT0063",203.089989154217,203.055100580364,203.106752093803,252.166870117188,207.379058837891,438.133026123047,673,0,166,1
"FT0064",203.082409642444,203.054784882912,203.09749096848,146.212005615234,45.1688270568848,171.899597167969,238,0,171,1
"FT0065",204.085277484021,204.065376129368,204.100431899361,146.289077758789,59.2817993164062,253.234817504883,190,0,172,1
"FT0066",205.071948916951,205.035253759025,205.086977336162,153.622566223145,129.543029785156,254.301544189453,168,0,165,1
"FT0067",206.075175686531,206.073214688012,206.090178807455,153.604347229004,60.8016662597656,166.345367431641,178,0,171,1
"FT0068",206.081789787153,206.074779633914,206.096587604043,249.827117919922,248.578521728516,276.148986816406,151,0,149,1
"FT0069",207.065222202583,206.97281745347,207.102940767202,309.522033691406,227.86653137207,427.150329589844,251,0,166,1
"FT0070",207.0754501783,207.011716865214,207.102223636911,153.270004272461,46.42333984375,207.322296142578,228,0,163,1
"FT0071",209.118013990827,209.084507478503,209.119868929399,346.573669433594,328.909057617188,454.941925048828,246,0,145,1
"FT0072",211.133652562419,211.132813329584,211.1347999125,833.474029541016,817.160461425781,941.3857421875,360,1,185,1
"FT0073",211.133660442432,211.132680128251,211.134681453993,486.273010253906,474.965454101562,543.41799609375,170,0,165,1
"FT0074",213.149448686005,213.148544935504,213.150468025877,446.292877197266,445.671875,460.417846679688,183,0,165,1
"FT0075",214.073103996553,214.057443414143,214.153205591484,184.545364379883,29.7826080322266,260.452392578125,206,1,199,1
"FT0076",214.152752457338,214.151519736569,214.154246116853,446.331512451172,444.608245849609,460.417846679688,157,0,156,1
"FT0077",215.032930799195,215.031349199294,215.092861727296,27.9569358825684,25.0575256347656,83.9387130737305,184,0,168,1
"FT0078",215.091932483987,215.033250589678,215.164891589886,184.445739746094,120.362739562988,286.110999084473,355,1,195,1
"FT0079",217.072044894163,217.070673658443,217.124700069949,288.377014160156,278.960571289062,421.816619873047,292,0,165,1
"FT0080",217.030024437097,216.967221477528,217.108185031293,28.2485866546631,25.0575256347656,152.961029052734,261,0,170,1
"FT0081",218.102989140215,218.03247261596,218.118607968256,96.926872253418,20.4363288879395,186.055038452148,218,0,166,1
"FT0082",219.051282988858,219.049518576978,219.093089148281,93.6436614990234,37.5766716003418,149.561477661133,319,0,165,1
"FT0083",221.102709701032,221.065405288978,221.118782676609,158.984764099121,102.02857208252,175.421493530273,208,0,168,1
"FT0084",221.066559303043,221.032088967487,221.153146035377,307.146255493164,210.095993041992,454.012817382812,658,0,167,1
"FT0085",221.154285441371,221.065818689542,221.155786290254,536.722900390625,479.965454101562,538.422180175781,126,1,120,1
"FT0086",223.061183661483,223.060196914581,223.13456883958,282.727645874023,152.02702331543,316.225999084473,202,0,163,1
"FT0087",223.133758447498,223.132890142106,223.134775930839,507.010498046875,408.64599609375,559.835999084473,167,0,167,1
"FT0088",225.0615104507,225.044268606341,225.113677151998,27.9928665161133,25.0575256347656,165.150360107422,175,0,166,1
"FT0089",227.128772454885,227.127599911268,227.129904074032,437.407409667969,395.11599609375,546.305999084473,227,0,163,1
"FT0090",227.128802816625,227.127871853164,227.145136942364,346.298385620117,246.854999084473,356.964904785156,238,0,166,1
"FT0091",233.066617863998,233.064320215218,233.123856400622,172.421997070312,64.6567077636719,257.753570556641,185,0,169,1
"FT0092",236.105114740904,235.925597897563,236.106764221285,536.720428466797,446.536773681641,538.326721191406,172,1,163,1
"FT0093",238.931515713509,238.930553243435,239.060009713874,1067.63342285156,946.275146484375,1140.19982910156,365,0,164,1
"FT0094",239.128291828328,238.930699763541,239.129790807038,440.250366210938,339.993713378906,488.834899902344,256,1,142,1
"FT0095",242.175895828247,242.174882220042,242.177372366306,433.598907470703,432.830749511719,457.115234375,157,0,155,1
"FT0096",242.940284395034,242.938476583314,243.123963413201,27.5414924621582,25.3079032897949,129.119999084473,180,1,153,1
"FT0097",245.042407934389,244.901994924345,245.093798864824,29.2748975753784,26.6997909545898,123.227493286133,178,0,136,1
"FT0098",245.094513177316,245.091756379522,245.139262359454,274.338226318359,131.826999084473,418.146453857422,235,0,152,1
"FT0099",247.082275784325,247.077828829751,247.170660365792,241.945907592773,227.994001220703,274.221008300781,179,0,166,1
"FT0100",248.085623781503,248.08445395362,248.121019952073,241.949264526367,236.947555541992,273.514465332031,174,0,162,1
"FT0101",248.960436326875,248.959499962404,248.96077999039,1092.09619140625,897.051999084473,1139.17980957031,735,1,253,1
"FT0102",249.097545841637,248.888897005492,249.125342367536,88.625114440918,17.5167560577393,240.535461425781,411,1,179,1
"FT0103",249.185307883837,249.14827103914,249.186816732895,581.038024902344,559.835999084473,647.93017578125,217,0,165,1
"FT0104",249.185384832084,249.149461249461,249.186645745044,741.910614013672,722.161315917969,759.003601074219,168,0,166,1
