"","mz","rt","n_samples"
"FT0290",359.096840652919,142.814498901367,261
"FT0291",359.124343400092,263.009521484375,261
"FT0292",359.206345962639,447.940780639648,261
"FT0293",361.162339085391,536.978576660156,261
"FT0294",361.186547506447,269.469665527344,261
"FT0295",362.99661515009,41.6993598937988,261
"FT0296",365.180053782909,214.091705322266,261
"FT0297",367.102639446521,259.80224609375,261
"FT0298",367.211622089934,1087.10455322266,261
"FT0299",368.105780818973,240.938812255859,261
"FT0300",369.118297869777,241.274871826172,261
"FT0301",369.22745830553,681.299926757812,261
"FT0302",371.078990742628,80.9422073364258,261
"FT0303",371.097602571645,238.297660827637,261
"FT0304",372.101126139381,238.320281982422,261
"FT0305",373.142038688276,286.334411621094,261
"FT0306",373.12591699902,751.192840576172,261
"FT0307",374.187415301292,286.776458740234,261
"FT0308",375.12592169334,182.385894775391,261
"FT0309",377.179969747251,256.726440429688,261
"FT0310",377.085119662425,31.971097946167,261
"FT0311",377.141126346485,832.054016113281,261
"FT0312",378.087815092324,28.9381343307495,261
"FT0313",378.184054110807,257.083587646484,261
"FT0314",378.143760653439,832.054016113281,261
"FT0315",379.082189192085,30.6128244400024,261
"FT0316",379.151193933689,257.81623840332,261
"FT0317",379.151861446897,751.475677490234,261
"FT0318",380.097803986365,252.061172485352,261
"FT0319",381.128436417631,56.0871543884277,261
"FT0320",381.17537813451,229.852523803711,261
"FT0321",383.048916509908,42.8586273193359,261
"FT0322",383.188391175941,1003.91195678711,261
"FT0323",384.935262366313,1085.39996337891,261
"FT0324",385.114409979523,231.781265258789,261
"FT0325",385.938046164693,1085.09008789062,261
"FT0326",386.144346095083,137.137756347656,261
"FT0327",386.939289179292,1084.78009033203,261
"FT0328",387.112503942993,28.5722103118896,261
"FT0329",387.163145525083,218.917083740234,261
"FT0330",387.940859116145,24.5559730529785,261
"FT0331",388.937702353057,24.0659523010254,261
"FT0332",389.938024489626,24.0645809173584,261
"FT0333",390.935276672578,24.1789531707764,261
"FT0334",392.079932818729,303.814514160156,261
"FT0335",392.893568210212,25.8819484710693,261
"FT0336",393.175573368509,253.401435852051,261
"FT0337",394.179017760074,253.31022644043,261
"FT0338",395.190615012665,253.39665222168,261
"FT0339",396.194174020704,288.596740722656,261
"FT0340",397.113238671009,244.739440917969,261
"FT0341",397.256395851337,757.859802246094,261
"FT0342",398.128414826174,207.548072814941,261
"FT0343",398.260264544102,757.561218261719,261
"FT0344",399.117765213074,196.348876953125,261
"FT0345",399.149421867921,96.527229309082,261
"FT0346",399.273909830444,816.147705078125,261
"FT0347",399.202002029795,401.7177734375,261
"FT0348",401.138367562403,213.390632629395,261
"FT0349",401.181304198921,420.746943603516,261
"FT0350",402.085339021942,207.135795593262,261
"FT0351",402.916409848363,24.2257995605469,261
"FT0352",403.116794237767,265.165023803711,261
"FT0353",403.918096235507,24.2123432159424,261
"FT0354",405.018673595106,32.9260330200195,261
"FT0355",405.175441315261,285.99885559082,261
"FT0356",405.916152507644,24.17626953125,261
"FT0357",406.178047918358,285.829254150391,261
"FT0358",406.912596989483,24.3903388977051,261
"FT0359",407.171153116006,146.274322509766,261
"FT0360",408.174367743306,146.242828369141,261
"FT0361",409.205887208073,338.327392578125,261
"FT0362",410.102145773105,613.45654296875,261
"FT0363",411.105548955432,590.251281738281,261
"FT0364",411.150968130902,153.602035522461,261
"FT0365",411.20137413647,340.788024902344,261
"FT0366",412.203987065581,340.790985107422,261
"FT0367",413.109550420791,208.382499694824,261
"FT0368",413.215986595974,309.216461181641,261
"FT0369",415.195891555419,297.101837158203,261
"FT0370",416.199015584033,296.41699609375,261
"FT0371",417.102816411432,185.545669555664,261
"FT0372",417.208609019866,282.639282226562,261
"FT0373",417.203282782483,614.214721679688,261
"FT0374",418.2144623018,282.585662841797,261
"FT0375",418.893513034051,24.1957550048828,261
"FT0376",419.185089551255,692.131988525391,261
"FT0377",419.191845945103,309.968292236328,261
"FT0378",419.191897260021,613.330139160156,261
"FT0379",419.895148632293,24.1798038482666,261
"FT0380",421.00158890949,42.3800010681152,261
"FT0381",421.156752580528,225.913543701172,261
"FT0382",421.23493774584,774.941162109375,261
"FT0383",422.004929920785,42.4301605224609,261
"FT0384",422.237899195364,773.681579589844,261
"FT0385",423.026565130492,38.3607063293457,261
"FT0386",423.22238712658,369.660705566406,261
"FT0387",424.225638578206,369.757354736328,261
"FT0388",425.164066473437,269.548889160156,261
"FT0389",427.180841773316,256.760467529297,261
"FT0390",428.184129790314,230.083923339844,261
"FT0391",429.176100485316,319.607543945312,261
"FT0392",429.105626957824,180.76798248291,261
"FT0393",430.178791175488,319.269287109375,261
"FT0394",431.185044171923,320.633911132812,261
"FT0395",431.190522682099,232.534118652344,261
"FT0396",432.194111247629,224.435272216797,261
"FT0397",432.194447803532,331.711517333984,261
"FT0398",433.206076249857,225.53719329834,261
"FT0399",434.209234674077,225.195877075195,261
"FT0400",434.917473733265,1086.09790039062,261
"FT0401",435.186443495625,225.326400756836,261
"FT0402",435.221031922743,325.720733642578,261
"FT0403",438.132622657864,216.104736328125,261
"FT0404",439.007926310024,34.2442474365234,261
"FT0405",439.181244542086,253.026977539062,261
"FT0406",440.184141982239,253.022453308105,261
"FT0407",441.195798673102,285.705169677734,261
"FT0408",441.246312515955,421.962966918945,261
"FT0409",442.199245336728,288.444152832031,261
"FT0410",442.250495352644,415.854705810547,261
"FT0411",443.119383628782,223.079177856445,261
"FT0412",443.227593933365,416.357818603516,261
"FT0413",445.169713802978,220.792602539062,261
"FT0414",445.235456495907,697.31005859375,261
"FT0415",446.238203381164,693.569458007812,261
"FT0416",447.113183613669,140.835006713867,261
"FT0417",447.240277555991,690.767517089844,261
"FT0418",447.250889459241,759.455139160156,261
"FT0419",447.152531765003,214.75439453125,261
"FT0420",448.2535487236,751.508544921875,261
"FT0421",449.200464783682,283.294464111328,261
"FT0422",449.256074002245,752.690490722656,261
"FT0423",450.204187074617,282.882476806641,261
"FT0424",451.185496014744,275.695571899414,261
"FT0425",452.922632853355,1084.77673339844,261
"FT0426",453.221607053906,263.826904296875,261
"FT0427",453.246545250417,381.476837158203,261
"FT0428",453.925768930217,1085.34204101562,261
