Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
341.108640635796,C01083,M-H[-],28.6101684570312,0.000282897433976359,EC0003
387.112503942993,C01083,M+HCOO[-],28.5722103118896,0.00134105700703913,EC0003
223.061183661483,C01092,M+K-2H[-],282.727645874023,0.000563404977015125,EC00030
259.021794825745,C01094,M-H[-],29.2681179046631,0.000628707484963797,EC0002
259.021794825745,C01097,M-H[-],29.2681179046631,0.000628707484963797,EC0002
417.203282782483,C01120,M+K-2H[-],614.214721679688,0.00206428397706304,EC00031
383.048916509908,C01168,M+CH3COO[-],42.8586273193359,0.000278490092057382,EC0004
259.021794825745,C01172,M-H[-],29.2681179046631,0.000628707484963797,EC0002
385.114409979523,C01175,M-H[-],231.781265258789,0.000386446292964138,EC00032
387.112503942993,C01175,M(Cl37)-H[-],28.5722103118896,0.00128040976295551,EC00033
259.021794825745,C01177,M-H[-],29.2681179046631,0.000628707484963797,EC0002
291.196252348901,C01226,M-H[-],661.908050537109,0.000271184328994423,EC00034
292.199777937466,C01226,M(C13)-H[-],623.178100585938,0.000145595763967776,EC00035
307.190654238397,C01226,M-H+O[-],620.911986816406,0.000779294833023414,EC00035
312.171541454446,C01226,M+Na-2H[-],698.305908203125,0.000294387986059519,EC00036
341.108640635796,C01235,M-H[-],28.6101684570312,0.000282897433976359,EC0003
387.112503942993,C01235,M+HCOO[-],28.5722103118896,0.00134105700703913,EC0003
519.896088257262,C01272,M+Na-2H[-],23.9538841247559,5.88091979807359e-05,EC00037
383.048916509908,C01368,M+CH3COO[-],42.8586273193359,0.000278490092057382,EC0004
131.07109561084,C01390,M+HCOO[-],288.666839599609,0.000250610839998444,EC00038
193.050421267445,C01494,M-H[-],280.9677734375,0.000202265784992051,EC00039
279.232064513503,C01595,M-H[-],878.665405273438,0.000859019726988208,EC00040
280.235775284665,C01595,M(C13)-H[-],882.090209960938,0.000548248564996356,EC00040
295.227401827226,C01595,M-H+O[-],690.274780273438,0.000431706004007992,EC00041
515.238239577351,C01626,M+CH3COO[-],752.422912597656,0.0010554226489603,EC00042
369.118297869777,C01852,M-H2O-H[-],241.274871826172,0.000725663453010839,EC00043
333.151954541279,C02035,M(Cl37)-H[-],251.378555297852,0.000368991951006592,EC00044
333.151954541279,C02035,M(S34)-H[-],251.378555297852,0.00103100804903988,EC00044
117.019283638739,C02170,M-H[-],47.9740104675293,3.98944910102728e-05,EC0001
111.008431538436,C02226,M-H2O-H[-],42.4078750610352,0.00029199479401143,EC00045
175.060881988136,C02504,M-H[-],170.575172424316,0.000341545093988316,EC00046
191.055392947316,C02504,M-H+O[-],198.304733276367,0.000740585914002168,EC00047
221.066559303043,C02504,M+HCOO[-],307.146255493164,0.000414303042987285,EC00048
173.045386973855,C02631,M-H+O[-],258.390151977539,0.000146559374996968,EC00049
193.050421267445,C02666,M-H+O[-],280.9677734375,0.000212265784995225,EC00050
223.061183661483,C02666,M+HCOO[-],282.727645874023,0.000538661483005853,EC00050
223.061183661483,C02763,M+CH3COO[-],282.727645874023,0.000588661482993302,EC00010
657.220686383662,C02880,M+HCOO[-],389.740737915039,0.000741383661988948,EC00051
259.021794825745,C02985,M-H+O[-],29.2681179046631,0.00063870748493855,EC00052
325.092971533662,C03406,M+Cl[-],246.034210205078,0.00147153366202701,EC00053
609.146508685251,C03470,M+Br[-],270.225952148438,0.00180868525092137,EC00054
259.021794825745,C03546,M-H[-],29.2681179046631,0.000628707484963797,EC0002
152.034983164711,C03972,M-H2O-H[-],162.246124267578,0.000340368518976675,EC00055
